Date,Open,High,Low,Close
2003-10-31 12:56:00,3639.25,3639.25,3639.25,3639.25
2003-10-31 12:57:00,3640.25,3640.25,3640.25,3640.25
2003-10-31 12:58:00,3639.25,3640.25,3639.25,3640.25
2003-10-31 12:59:00,3641.25,3641.25,3640.25,3640.25
2003-10-31 13:00:00,3641.25,3644.25,3640.25,3642.25
2003-10-31 13:01:00,3643.25,3643.25,3642.25,3643.25
2003-10-31 13:02:00,3644.25,3645.25,3644.25,3644.25
2003-10-31 13:03:00,3645.25,3646.25,3644.25,3644.25
2003-10-31 13:04:00,3645.25,3645.25,3645.25,3645.25
2003-10-31 13:05:00,3644.25,3644.25,3643.25,3644.25
2003-10-31 13:06:00,3643.25,3645.25,3643.25,3645.25
2003-10-31 13:08:00,3646.25,3646.25,3645.25,3645.25
2003-10-31 13:09:00,3646.25,3646.25,3645.25,3645.25
2003-10-31 13:10:00,3646.25,3646.25,3645.25,3645.25
2003-10-31 13:11:00,3646.25,3646.25,3646.25,3646.25
2003-10-31 13:12:00,3647.25,3648.25,3647.25,3648.25
2003-10-31 13:13:00,3647.25,3648.25,3647.25,3647.25
2003-10-31 13:14:00,3648.25,3652.25,3648.25,3650.25
2003-10-31 13:15:00,3651.25,3651.25,3650.25,3651.25
2003-10-31 13:16:00,3652.25,3652.25,3650.25,3650.25
2003-10-31 13:17:00,3651.25,3652.25,3650.25,3650.25
2003-10-31 13:18:00,3649.25,3651.25,3648.25,3650.25
2003-10-31 13:19:00,3651.25,3651.25,3649.25,3650.25
2003-10-31 13:20:00,3649.25,3651.25,3649.25,3651.25
2003-10-31 13:21:00,3652.25,3654.25,3651.25,3653.25
2003-10-31 13:22:00,3654.25,3654.25,3651.25,3652.25
2003-10-31 13:23:00,3651.25,3653.25,3651.25,3652.25
2003-10-31 13:24:00,3651.25,3651.25,3650.25,3650.25
2003-10-31 13:25:00,3649.25,3649.25,3649.25,3649.25
2003-10-31 13:26:00,3648.25,3650.25,3648.25,3649.25
2003-10-31 13:27:00,3650.25,3650.25,3649.25,3649.25
2003-10-31 13:28:00,3648.25,3649.25,3648.25,3648.25
2003-10-31 13:29:00,3649.25,3649.25,3648.25,3648.25
2003-10-31 13:30:00,3647.25,3647.25,3642.25,3644.25
2003-10-31 13:31:00,3643.25,3646.25,3643.25,3645.25
2003-10-31 13:32:00,3644.25,3646.25,3643.25,3644.25
2003-10-31 13:33:00,3643.25,3644.25,3641.25,3641.25
2003-10-31 13:34:00,3642.25,3642.25,3640.25,3641.25
2003-10-31 13:35:00,3642.25,3642.25,3640.25,3640.25
2003-10-31 13:36:00,3639.25,3640.25,3638.25,3639.25
2003-10-31 13:37:00,3638.25,3640.25,3638.25,3640.25
2003-10-31 13:38:00,3641.25,3641.25,3640.25,3640.25
2003-10-31 13:39:00,3641.25,3642.25,3640.25,3640.25
2003-10-31 13:40:00,3641.25,3642.25,3640.25,3641.25
2003-10-31 13:41:00,3640.25,3641.25,3639.25,3639.25
2003-10-31 13:42:00,3640.25,3640.25,3636.25,3636.25
2003-10-31 13:43:00,3635.25,3639.25,3635.25,3638.25
2003-10-31 13:44:00,3637.25,3639.25,3637.25,3639.25
2003-10-31 13:45:00,3638.25,3641.25,3638.25,3640.25
2003-10-31 13:46:00,3641.25,3641.25,3640.25,3640.25
2003-10-31 13:47:00,3641.25,3643.25,3641.25,3643.25
2003-10-31 13:48:00,3642.25,3643.25,3642.25,3643.25
2003-10-31 13:50:00,3643.25,3643.25,3642.25,3643.25
2003-10-31 13:51:00,3642.25,3643.25,3642.25,3642.25
2003-10-31 13:52:00,3641.25,3642.25,3641.25,3641.25
2003-10-31 13:53:00,3640.25,3643.25,3640.25,3643.25
2003-10-31 13:54:00,3642.25,3643.25,3642.25,3642.25
2003-10-31 13:55:00,3641.25,3642.25,3641.25,3642.25
2003-10-31 13:56:00,3641.25,3642.25,3640.25,3641.25
2003-10-31 13:57:00,3640.25,3641.25,3640.25,3641.25
